name,x,y
total,0.42156573534011843,0.0
total,0.43156573534011844,0.0
total,0.44156573534011845,0.0
total,0.45156573534011846,0.0
total,0.46156573534011847,0.0
total,0.4715657353401185,0.0
total,0.4815657353401185,0.0
total,0.4915657353401185,0.0
total,0.5015657353401185,0.0
total,0.5115657353401185,0.0
total,0.5215657353401185,0.00819672131147541
total,0.5315657353401185,0.01639344262295082
total,0.5415657353401185,0.05737704918032787
total,0.5515657353401185,0.16393442622950818
total,0.5615657353401186,0.32786885245901637
total,0.5715657353401186,0.48360655737704916
total,0.5815657353401186,0.639344262295082
total,0.5915657353401186,0.6721311475409836
total,0.6015657353401186,0.7295081967213115
total,0.6115657353401186,0.7704918032786885
total,0.6215657353401186,0.819672131147541
total,0.6315657353401186,0.860655737704918
total,0.6415657353401186,0.8688524590163934
total,0.6515657353401186,0.8852459016393442
total,0.6615657353401186,0.9262295081967213
total,0.6715657353401187,0.9344262295081968
total,0.6815657353401187,0.9508196721311475
total,0.6915657353401187,0.9508196721311475
total,0.7015657353401187,0.9508196721311475
total,0.7115657353401187,0.9590163934426229
total,0.7215657353401187,0.9672131147540983
total,0.7315657353401187,0.9672131147540983
total,0.7415657353401187,0.9672131147540983
total,0.7515657353401187,0.9754098360655737
total,0.7615657353401187,0.9836065573770492
total,0.7715657353401187,0.9836065573770492
total,0.7815657353401188,0.9836065573770492
total,0.7915657353401188,0.9918032786885246
total,0.8015657353401188,0.9918032786885246
total,0.8115657353401188,0.9918032786885246
total,0.8215657353401188,0.9918032786885246
total,0.8315657353401188,0.9918032786885246
total,0.8415657353401188,0.9918032786885246
1.0,0.42156573534011843,0.0
1.0,0.43156573534011844,0.0
1.0,0.44156573534011845,0.0
1.0,0.45156573534011846,0.0
1.0,0.46156573534011847,0.0
1.0,0.4715657353401185,0.0
1.0,0.4815657353401185,0.0
1.0,0.4915657353401185,0.0
1.0,0.5015657353401185,0.0
1.0,0.5115657353401185,0.0
1.0,0.5215657353401185,0.0
1.0,0.5315657353401185,0.023255813953488372
1.0,0.5415657353401185,0.13953488372093023
1.0,0.5515657353401185,0.27906976744186046
1.0,0.5615657353401186,0.4186046511627907
1.0,0.5715657353401186,0.5581395348837209
1.0,0.5815657353401186,0.6744186046511628
1.0,0.5915657353401186,0.6976744186046512
1.0,0.6015657353401186,0.7441860465116279
1.0,0.6115657353401186,0.7906976744186046
1.0,0.6215657353401186,0.8372093023255814
1.0,0.6315657353401186,0.8604651162790697
1.0,0.6415657353401186,0.8604651162790697
1.0,0.6515657353401186,0.8837209302325582
1.0,0.6615657353401186,0.9302325581395349
1.0,0.6715657353401187,0.9302325581395349
1.0,0.6815657353401187,0.9302325581395349
1.0,0.6915657353401187,0.9302325581395349
1.0,0.7015657353401187,0.9302325581395349
1.0,0.7115657353401187,0.9302325581395349
